Rank,School,Link,Conference,Total Revenue,Total Expenses,Total Allocated,Link,Percent Allocated,School,Link
46,Oklahoma State,https://sportsdata.usatoday.com/ncaa/finances/207388,Big 12,"$104,404,398 ","$103,317,156 ","$13,009,612 ",,12.46%,Oklahoma State,https://sportsdata.usatoday.com/ncaa/finances/207388
47,UCLA,https://sportsdata.usatoday.com/ncaa/finances/110662,Pac-12,"$103,061,344 ","$131,106,913 ","$2,577,213 ",,2.50%,UCLA,https://sportsdata.usatoday.com/ncaa/finances/110662
48,North Carolina State,https://sportsdata.usatoday.com/ncaa/finances/199193,ACC,"$102,387,569 ","$100,991,410 ","$7,011,627 ",,6.85%,North Carolina State,https://sportsdata.usatoday.com/ncaa/finances/199193
49,Kansas State,https://sportsdata.usatoday.com/ncaa/finances/155399,Big 12,"$100,822,204 ","$82,220,606 ",$0 ,,0.00%,Kansas State,https://sportsdata.usatoday.com/ncaa/finances/155399
50,Connecticut,https://sportsdata.usatoday.com/ncaa/finances/129020,Big East,"$99,041,960 ","$96,742,518 ","$55,341,505*",https://sportsdata.usatoday.com/ncaa/#,55.88%,Connecticut,https://sportsdata.usatoday.com/ncaa/finances/129020
51,Colorado,https://sportsdata.usatoday.com/ncaa/finances/126614,Pac-12,"$94,873,830 ","$95,968,696 ","$11,889,383 ",,12.53%,Colorado,https://sportsdata.usatoday.com/ncaa/finances/126614
52,Central Florida,https://sportsdata.usatoday.com/ncaa/finances/132903,AAC,"$89,228,205 ","$69,099,289 ","$48,795,899 ",,54.69%,Central Florida,https://sportsdata.usatoday.com/ncaa/finances/132903
53,Washington State,https://sportsdata.usatoday.com/ncaa/finances/236939,Pac-12,"$85,028,825 ","$83,691,991 ","$15,363,703 ",,18.07%,Washington State,https://sportsdata.usatoday.com/ncaa/finances/236939
54,Oregon State,https://sportsdata.usatoday.com/ncaa/finances/209542,Pac-12,"$83,480,015 ","$87,729,627 ","$11,122,141 ",,13.32%,Oregon State,https://sportsdata.usatoday.com/ncaa/finances/209542
55,Cincinnati,https://sportsdata.usatoday.com/ncaa/finances/201885,AAC,"$83,344,028 ","$75,902,262 ","$26,913,237 ",,32.29%,Cincinnati,https://sportsdata.usatoday.com/ncaa/finances/201885
56,Houston,https://sportsdata.usatoday.com/ncaa/finances/225511,AAC,"$78,088,086 ","$73,806,404 ","$48,451,950 ",,62.05%,Houston,https://sportsdata.usatoday.com/ncaa/finances/225511
57,Air Force,https://sportsdata.usatoday.com/ncaa/finances/128328,MWC,"$76,587,462 ","$67,422,052 ","$51,798,077 ",,67.63%,Air Force,https://sportsdata.usatoday.com/ncaa/finances/128328
58,San Diego State,https://sportsdata.usatoday.com/ncaa/finances/122409,MWC,"$65,897,302 ","$67,245,917 ","$28,525,799 ",,43.29%,San Diego State,https://sportsdata.usatoday.com/ncaa/finances/122409
59,Nevada-Las Vegas,https://sportsdata.usatoday.com/ncaa/finances/182281,MWC,"$64,243,413 ","$62,644,050 ","$24,656,056 ",,38.38%,Nevada-Las Vegas,https://sportsdata.usatoday.com/ncaa/finances/182281
60,Memphis,https://sportsdata.usatoday.com/ncaa/finances/220862,AAC,"$62,174,875 ","$62,174,875 ","$29,872,328 ",,48.05%,Memphis,https://sportsdata.usatoday.com/ncaa/finances/220862
61,Colorado State,https://sportsdata.usatoday.com/ncaa/finances/126818,MWC,"$61,263,230 ","$61,220,502 ","$28,227,758 ",,46.08%,Colorado State,https://sportsdata.usatoday.com/ncaa/finances/126818
62,James Madison,https://sportsdata.usatoday.com/ncaa/finances/232423,SBC,"$57,800,447 ","$57,800,447 ","$47,040,732 ",,81.38%,James Madison,https://sportsdata.usatoday.com/ncaa/finances/232423
63,South Florida,https://sportsdata.usatoday.com/ncaa/finances/137351,AAC,"$56,110,830 ","$62,288,597 ","$28,529,881 ",,50.85%,South Florida,https://sportsdata.usatoday.com/ncaa/finances/137351
64,East Carolina,https://sportsdata.usatoday.com/ncaa/finances/198464,AAC,"$54,964,121 ","$54,133,021 ","$24,215,366 ",,44.06%,East Carolina,https://sportsdata.usatoday.com/ncaa/finances/198464
65,Fresno State,https://sportsdata.usatoday.com/ncaa/finances/110556,MWC,"$54,124,579 ","$46,515,828 ","$23,252,181*",https://sportsdata.usatoday.com/ncaa/#,42.96%,Fresno State,https://sportsdata.usatoday.com/ncaa/finances/110556
66,Massachusetts,https://sportsdata.usatoday.com/ncaa/finances/166629,A10,"$53,639,818 ","$52,853,964 ","$41,719,711 ",,77.78%,Massachusetts,https://sportsdata.usatoday.com/ncaa/finances/166629
67,Old Dominion,https://sportsdata.usatoday.com/ncaa/finances/232982,SBC,"$53,419,653 ","$51,914,920 ","$31,258,633 ",,58.52%,Old Dominion,https://sportsdata.usatoday.com/ncaa/finances/232982
68,Boise State,https://sportsdata.usatoday.com/ncaa/finances/142115,MWC,"$50,569,147 ","$50,328,947 ","$16,594,786 ",,32.82%,Boise State,https://sportsdata.usatoday.com/ncaa/finances/142115
69,Wyoming,https://sportsdata.usatoday.com/ncaa/finances/240727,MWC,"$50,255,884 ","$47,146,999 ","$20,672,209*",https://sportsdata.usatoday.com/ncaa/#,41.13%,Wyoming,https://sportsdata.usatoday.com/ncaa/finances/240727
70,Hawaii,https://sportsdata.usatoday.com/ncaa/finances/141574,BigWst,"$49,422,827 ","$48,029,141 ","$29,364,270 ",,59.41%,Hawaii,https://sportsdata.usatoday.com/ncaa/finances/141574
71,Nevada,https://sportsdata.usatoday.com/ncaa/finances/182290,MWC,"$47,946,637 ","$45,228,707 ","$23,209,325 ",,48.41%,Nevada,https://sportsdata.usatoday.com/ncaa/finances/182290
72,Georgia State,https://sportsdata.usatoday.com/ncaa/finances/139940,SBC,"$45,666,910 ","$39,913,963 ","$27,457,063 ",,60.12%,Georgia State,https://sportsdata.usatoday.com/ncaa/finances/139940
73,Coastal Carolina,https://sportsdata.usatoday.com/ncaa/finances/218724,SBC,"$45,443,779 ","$45,443,779 ","$38,455,490 ",,84.62%,Coastal Carolina,https://sportsdata.usatoday.com/ncaa/finances/218724
74,New Mexico,https://sportsdata.usatoday.com/ncaa/finances/187985,MWC,"$44,881,065 ","$44,865,758 ","$18,641,600 ",,41.54%,New Mexico,https://sportsdata.usatoday.com/ncaa/finances/187985
75,North Texas,https://sportsdata.usatoday.com/ncaa/finances/227216,CUSA,"$44,477,324 ","$44,222,540 ","$33,326,873 ",,74.93%,North Texas,https://sportsdata.usatoday.com/ncaa/finances/227216
76,California-Davis,https://sportsdata.usatoday.com/ncaa/finances/110644,BigWst,"$44,275,782 ","$40,909,557 ","$35,482,389 ",,80.14%,California-Davis,https://sportsdata.usatoday.com/ncaa/finances/110644
77,Virginia Commonwealth,https://sportsdata.usatoday.com/ncaa/finances/234030,A10,"$43,201,616 ","$41,887,842 ","$32,238,795 ",,74.62%,Virginia Commonwealth,https://sportsdata.usatoday.com/ncaa/finances/234030
78,Utah State,https://sportsdata.usatoday.com/ncaa/finances/230728,MWC,"$43,157,838 ","$42,824,185 ","$24,341,550 ",,56.40%,Utah State,https://sportsdata.usatoday.com/ncaa/finances/230728
79,Charlotte,https://sportsdata.usatoday.com/ncaa/finances/199139,CUSA,"$41,261,880 ","$39,381,134 ","$27,244,479 ",,66.03%,Charlotte,https://sportsdata.usatoday.com/ncaa/finances/199139
80,Florida International,https://sportsdata.usatoday.com/ncaa/finances/133951,CUSA,"$41,043,885 ","$39,433,624 ","$29,961,971 ",,73.00%,Florida International,https://sportsdata.usatoday.com/ncaa/finances/133951
81,Buffalo,https://sportsdata.usatoday.com/ncaa/finances/196088,MAC,"$40,192,255 ","$39,537,565 ","$31,835,303 ",,79.21%,Buffalo,https://sportsdata.usatoday.com/ncaa/finances/196088
82,Marshall,https://sportsdata.usatoday.com/ncaa/finances/237525,SBC,"$39,338,519 ","$39,350,986 ","$23,248,630 ",,59.10%,Marshall,https://sportsdata.usatoday.com/ncaa/finances/237525
83,Florida Atlantic,https://sportsdata.usatoday.com/ncaa/finances/133669,CUSA,"$39,201,524 ","$38,132,721 ","$22,884,788 ",,58.38%,Florida Atlantic,https://sportsdata.usatoday.com/ncaa/finances/133669
84,Western Michigan,https://sportsdata.usatoday.com/ncaa/finances/172699,MAC,"$39,162,014 ","$34,422,527 ","$26,309,236 ",,67.18%,Western Michigan,https://sportsdata.usatoday.com/ncaa/finances/172699
85,South Alabama,https://sportsdata.usatoday.com/ncaa/finances/102094,SBC,"$39,119,983 ","$33,001,239 ","$28,922,453 ",,73.93%,South Alabama,https://sportsdata.usatoday.com/ncaa/finances/102094
86,San Jose State,https://sportsdata.usatoday.com/ncaa/finances/122755,MWC,"$39,030,222 ","$39,030,022 ","$23,620,166 ",,60.52%,San Jose State,https://sportsdata.usatoday.com/ncaa/finances/122755
87,Central Michigan,https://sportsdata.usatoday.com/ncaa/finances/169248,MAC,"$39,002,244 ","$34,284,909 ","$27,739,345 ",,71.12%,Central Michigan,https://sportsdata.usatoday.com/ncaa/finances/169248
88,Appalachian State,https://sportsdata.usatoday.com/ncaa/finances/197869,SBC,"$38,542,661 ","$38,565,701 ","$18,639,762*",https://sportsdata.usatoday.com/ncaa/#,48.36%,Appalachian State,https://sportsdata.usatoday.com/ncaa/finances/197869
89,Alabama at Birmingham,https://sportsdata.usatoday.com/ncaa/finances/100663,CUSA,"$38,351,074 ","$39,890,894 ","$24,151,002 ",,62.97%,Alabama at Birmingham,https://sportsdata.usatoday.com/ncaa/finances/100663
90,Texas-San Antonio,https://sportsdata.usatoday.com/ncaa/finances/229027,CUSA,"$38,183,028 ","$39,156,362 ","$23,864,888 ",,62.50%,Texas-San Antonio,https://sportsdata.usatoday.com/ncaa/finances/229027
91,Miami (Ohio),https://sportsdata.usatoday.com/ncaa/finances/204024,MAC,"$38,076,046 ","$37,880,709 ","$25,993,771*",https://sportsdata.usatoday.com/ncaa/#,68.27%,Miami (Ohio),https://sportsdata.usatoday.com/ncaa/finances/204024
92,Texas State,https://sportsdata.usatoday.com/ncaa/finances/228459,SBC,"$37,288,587 ","$37,853,450 ","$27,402,513 ",,73.49%,Texas State,https://sportsdata.usatoday.com/ncaa/finances/228459
93,California Polytechnic,https://sportsdata.usatoday.com/ncaa/finances/110422,BigWst,"$37,134,737 ","$35,998,471 ","$27,346,027 ",,73.64%,California Polytechnic,https://sportsdata.usatoday.com/ncaa/finances/110422
94,Stony Brook,https://sportsdata.usatoday.com/ncaa/finances/196097,CAA,"$37,027,808 ","$38,944,967 ","$31,682,489 ",,85.56%,Stony Brook,https://sportsdata.usatoday.com/ncaa/finances/196097
95,Sacramento State,https://sportsdata.usatoday.com/ncaa/finances/110617,BigSky,"$35,893,960 ","$35,004,647 ","$30,237,148*",https://sportsdata.usatoday.com/ncaa/#,84.24%,Sacramento State,https://sportsdata.usatoday.com/ncaa/finances/110617
96,Middle Tennessee,https://sportsdata.usatoday.com/ncaa/finances/220978,CUSA,"$35,614,512 ","$35,614,512 ","$23,654,687*",https://sportsdata.usatoday.com/ncaa/#,66.42%,Middle Tennessee,https://sportsdata.usatoday.com/ncaa/finances/220978
97,Toledo,https://sportsdata.usatoday.com/ncaa/finances/206084,MAC,"$35,602,789 ","$35,602,789 ","$21,780,790 ",,61.18%,Toledo,https://sportsdata.usatoday.com/ncaa/finances/206084
98,George Mason,https://sportsdata.usatoday.com/ncaa/finances/232186,A10,"$35,162,841 ","$30,290,482 ","$27,432,512 ",,78.02%,George Mason,https://sportsdata.usatoday.com/ncaa/finances/232186
99,Western Kentucky,https://sportsdata.usatoday.com/ncaa/finances/157951,CUSA,"$35,142,710 ","$35,142,710 ","$22,141,424*",https://sportsdata.usatoday.com/ncaa/#,63.00%,Western Kentucky,https://sportsdata.usatoday.com/ncaa/finances/157951
100,Binghamton,https://sportsdata.usatoday.com/ncaa/finances/196079,AmEast,"$34,835,289 ","$23,851,280 ","$21,148,772 ",,60.71%,Binghamton,https://sportsdata.usatoday.com/ncaa/finances/196079
101,Troy,https://sportsdata.usatoday.com/ncaa/finances/102368,SBC,"$33,355,524 ","$33,355,524 ","$24,737,619 ",,74.16%,Troy,https://sportsdata.usatoday.com/ncaa/finances/102368
